Brand,Y2021,Y2020,Y2019,Y2018,Y2017
Abercrombie & Fitch,0.199,0.248,0.204,0.144,0.096
Adidas,0.544,0.694,0.642,0.578,0.486
Aeropostale,0.034,0.04,0.042,0.054,0.07
AJIO,0.073,,,,
ALDI Nord,0.248,0.252,0.214,,
ALDI SOUTH,0.308,0.3,0.214,,
ALDO,0.142,0.174,0.158,,
Amazon,0.273,0.254,0.136,0.104,0.09
American Eagle,0.155,0.172,0.138,0.146,0.098
ANTA,0.07,0.084,0.104,0.024,
Anthropologie,0.157,0.202,0.054,0.058,0.066
Aritzia,0.227,0.158,,,
Armani,0.139,0.088,0.072,0.082,0.082
Asda,0.382,0.338,0.376,0.304,0.23
ASICS,0.489,0.458,0.304,0.264,0.196
ASOS,0.473,0.548,0.588,0.502,0.326
Balenciaga,0.428,0.468,,,
Bally,0.14,0,,,
Banana Republic,0.492,0.5,0.538,0.538,0.462
BCBGMAXAZRIA,0.019,0.032,0.018,,
Beanpole,0.07,0.076,0.002,,
Belle,0,0,,,
Bershka,0.358,0.442,0.456,0.42,0.364
Big Bazaar - ffb,0,0.012,,,
Big W,0.292,0.302,,,
Billabong,0.003,0.034,,,
Bloomingdale's,0.1,0.156,0.13,0.176,
Bonprix,0.353,0.43,0.384,0.292,
boohoo,0.197,0.092,0.112,,
Bosideng,0.046,0.074,,,
Bottega Veneta,0.424,0.464,0.392,0.364,0.28
Brooks Sport,0.296,0.254,,,
Brunello Cucinelli,0.05,0.106,0.106,,
Buckle,0.071,0.096,0.096,0.11,
Burberry,0.338,0.36,0.332,0.326,0.252
Burlington,0.146,0.144,0.096,0.118,0.078
C&A,0.651,0.698,0.602,0.532,0.344
Calvin Klein,0.59,0.538,0.412,0.378,0.288
Calzedonia,0.107,0.132,0.054,0.064,0.088
Canada Goose,0.084,0.042,,,
Carhartt,0.086,0.06,,,
Carolina Herrera,0.142,0.12,0.1,0.052,
CAROLL,0.126,0.14,0.022,,
Carrefour ,0.237,0.204,0.178,,
Carter's,0.123,,,,
CELINE,0.222,0.256,0.202,,
celio,0.004,0.014,,,
Champion,0.393,0.388,0.308,0.24,0.196
Chanel,0.108,0.106,0.102,0.03,0.014
Chico's,0.084,0.118,0.092,0.112,0.07
Chloé,0.184,0.2,,,
Claire's,0.031,0.048,0.044,0.022,0.026
Clarks,0.341,0.404,0.26,,
COACH,0.216,0.188,0.22,0.212,0.214
Cole Haan,0.056,0.082,0.066,,
Columbia Sportswear,0.249,0.282,0.212,0.224,0.15
Converse,0.554,0.552,0.572,0.364,0.36
Cortefiel,0.148,0.162,0.154,0.15,
Costco,0.117,0.152,0.146,0.15,0.13
Cotton On,0.176,0.25,,,
Decathlon,0.236,0.234,0.186,0.172,
Deichmann,0.024,,,,
Desigual,0.21,0.168,0.074,0,
Dick's Sporting Goods,0.311,0.164,0.088,0.116,
Diesel,0.072,0.106,0.106,0.036,
Dillard's,0.061,0.096,0.066,0.11,0.096
Dior,0.222,0.26,0.216,0,0
Disney,0.205,0.228,,,
DKNY,0.018,0.024,,,
Dolce & Gabbana,0.016,0.034,0.034,0.012,
Dr. Martens,0.153,0.096,,,
Dressmann,0.476,0.48,0.308,0.244,
DSW,0.09,0.104,0.092,,
Eddie Bauer,0.029,0.046,0.046,,
El Corte Inglés,0.281,0.278,0.19,0.126,
Elie Tahari,0,0,0,,
Ermenegildo Zegna,0.328,0.268,0.044,0.052,0.046
Esprit,0.603,0.642,0.622,0.544,0.37
Express,0.059,0.08,0.056,0.072,0.038
Falabella,0.173,0.17,0.156,0.16,
Famous Footwear,0.06,0.092,0.068,,
Fanatics,0.122,0.15,0.042,,
Fashion Nova,0.002,0.016,,,
Fendi,0.434,0.252,0.202,0.152,
Fila,0.043,0.078,,,
Fjällräven,0.28,0.312,,,
Foot Locker,0.073,0.074,0.06,0.048,
Foschini,0.171,0.144,,,
Fossil,0.125,0.128,0.134,,
Free people,0.157,0.206,,,
Fruit of the Loom,0.34,,,,
Furla,0.071,0.102,0.008,,
G-Star RAW,0.431,0.488,0.452,0.452,
Gap,0.492,0.5,0.538,0.538,0.462
Gerry Weber,0.049,0.104,,,
Gildan,0.631,0.492,0.41,0.33,0.274
GU,0.421,,,,
Gucci,0.557,0.484,0.4,0.368,0.284
GUESS,0.119,0.192,0.2,0.19,0.118
H&M,0.675,0.728,0.612,0.548,0.478
Hanes,0.393,0.388,0.308,0.24,0.196
Heilan Home,0.003,0,0.002,0,0
Helly Hansen,0.361,0.35,,,
HEMA,0.241,0.338,,,
Hermès,0.371,0.33,0.314,0.26,0.218
Hollister Co.,0.199,0.248,,,
Hudson's Bay,0.132,0.19,0.212,0.218,0.212
Hugo Boss,0.337,0.41,0.414,0.376,0.266
Intimissimi,0.107,0.132,0.054,,
Ito-Yokado,0.146,0.206,0.138,,
Jack & Jones,0.252,0.292,0.282,0.2,0.154
JD Sports,0.266,0.16,0.11,0.126,
Jessica Simpson,0,0,0,0,
Jil Sander,0.061,0.062,,,
Jockey,0.022,0.044,,,
Joe Fresh,0.134,0.134,0.11,0.116,
John Lewis,0.265,0.296,0.284,0.236,
Jordan,0.554,0.552,0.572,0.364,0.36
Justfab,0.033,0.042,,,
K-Way,0.04,0.06,0.078,,
Kate Spade,0.216,0.188,0.2,0.12,
Kathmandu,0.247,0.302,,,
Kaufland,0.137,0.182,,,
Kiabi,0.216,,,,
KiK,0.143,0.18,0.132,0.16,
Kmart ,0.084,0.178,0.176,,
Kmart Australia,0.557,0.328,,,
Kohl's,0.149,0.164,0.104,0.082,0.132
KOOVS,0,0.016,,,
La Redoute,0.09,0.114,,,
Lacoste,0.347,0.246,0.13,0.06,0.046
Lands' End,0.144,0.186,0.184,0.206,0.162
LC Waikiki,0.041,,,,
Levi Strauss & Co,0.443,0.478,0.51,0.472,0.348
Li-Ning,0.127,0.154,0.058,,
Lidl,0.272,0.268,0.19,0.148,
Lindex,0.504,0.496,0.436,0.374,
LL Bean,0.086,0.06,0.038,0.028,0.026
Longchamp,0.028,0.03,0.004,0.004,
Louis Vuitton,0.222,0.26,0.218,0.146,0.148
Lululemon,0.423,0.456,0.408,0.354,0.246
Macy's,0.1,0.156,0.13,0.176,0.172
Mammut,0.312,0.314,0.236,,
Mango,0.258,0.216,0.178,0.178,0.132
Marc Jacobs,0.218,0.252,0.202,0.032,
Marks & Spencer,0.481,0.596,0.562,0.514,0.48
Marni,0.045,0.106,0.106,,
Massimo Dutti,0.358,0.442,0.456,0.42,0.364
Matalan,0.172,0.176,0.1,0.046,0.014
Max Mara,0.004,0.004,0.004,0.004,
Merrell,0.088,0.11,0.098,,
Metersbonwe,0,0.008,0.002,,
Mexx,0,0,0,0,0.062
Michael Kors,0.156,0.076,0.068,0.074,0.084
Miu Miu,0.184,0.182,0.196,0.148,0.076
Mizuno,0.215,0.268,0.246,,
Moncler,0.179,0.188,0.184,,
Monoprix,0.18,0.22,0.188,0.13,
Morrisons,0.279,0.314,,,
MRP,0.149,0.158,0.142,,
Muji,0.223,0.104,0.068,,
New Balance,0.423,0.484,0.472,0.292,0.176
New Look,0.342,0.426,0.302,0.294,0.21
New Yorker,0.004,0.006,0.006,0.006,
Next,0.397,0.362,0.33,0.326,0.204
Nike,0.554,0.552,0.572,0.364,0.36
Nine West,0.014,0.032,0.024,0,
Nordstrom,0.281,0.222,0.176,0.174,0.15
Old Navy,0.492,0.5,0.538,0.538,0.462
Otto,0.198,0.196,,,
OVS,0.784,0.346,0.252,0.228,
Paris,0.116,,,,
Patagonia,0.555,0.604,0.642,,
Pepe Jeans,0.002,0.004,,,
Pimkie,0.288,0.182,0.048,,
Prada,0.184,0.182,0.196,0.148,0.076
PrettyLittleThing,0.197,0.092,,,
Primark,0.38,0.384,0.354,0.362,0.238
Prisma,0.251,0.248,0.206,,
Pull&Bear,0.362,0.442,0.456,0.42,0.364
Puma,0.508,0.566,0.582,0.56,0.462
Quiksilver,0.003,0.034,,,
Ralph Lauren,0.286,0.27,0.208,0.14,0.092
Reebok,0.544,0.694,0.642,0.578,0.486
REI,0.194,0.234,,,
Reliance Trends,0.073,0.124,,,
Reserved,0.152,0.194,,,
REVOLVE,0.022,0.022,0.014,,
River Island,0.22,0.222,0.088,,
Ross Dress for Less,0.061,0.084,0.08,0.104,0.078
Roxy,0.003,0.034,,,
Russell Athletic,0.34,0.362,0.23,0.174,0.184
s.Oliver,0.108,0.162,0.092,0,0
Sainsbury's,0.483,0.47,0.282,0.072,
SAINT LAURENT,0.428,0.468,0.378,0.364,0.28
Saks Fifth Avenue,0.132,0.19,0.212,0.218,0.212
Salvatore Ferragamo,0.253,0.206,0.2,0.2,
Sandro,0.088,0.114,0.092,0,
Semir,0.002,,,,
SHEIN,0.01,,,,
Skechers,0.081,0.082,0.064,,
Speedo,0.525,0.338,0.288,,
Splash,0.091,,,,
Sports Direct,0.049,0.06,0.066,0.054,
Steve Madden,0.135,0.096,0.076,,
Stradivarius,0.358,0.442,0.456,0.42,
Superdry,0.317,0.202,0.206,0.204,
Takko,0.117,0.116,0.098,0.09,
Target,0.421,0.374,0.362,0.346,0.316
Target Australia,0.557,0.328,,,
Tchibo,0.534,0.484,0.488,0.422,
Ted Baker,0.212,0.234,0.116,,
Tesco ,0.335,0.434,0.392,0.308,0.304
Tezenis,0.107,0.132,0.054,,
The Children's Place,0.092,0.09,,,
The North Face,0.657,0.586,0.566,0.458,0.242
The Warehouse,0.272,0.342,,,
Timberland,0.657,0.588,0.566,0.458,0.242
TJ Maxx,0.13,0.152,0.15,0.176,0.17
Tod's,0.136,0.202,0.176,,
Tom Ford,0.002,0.002,0,,
Tom Tailor,0.423,0.18,0.088,,
Tommy Bahama,0.056,0.084,0.034,,
Tommy Hilfiger,0.59,0.538,0.412,0.378,0.288
Topman,0.271,0.382,,,
Topshop,0.271,0.382,0.278,0.264,0.254
TOPVALU COLLECTION,0.164,0.194,0.112,,
Tory Burch,0.004,0.036,0.032,0.032,
Triumph,0.058,0.1,0.086,0.092,0.086
Truworths,0.106,0.146,,,
UGG,0.545,0.174,0.142,,
Under Armour,0.215,0.292,0.276,0.218,0.11
Uniqlo,0.421,0.396,0.382,0.286,0.264
United Arrows,0.087,0.07,,,
United Colors of Benetton,0.597,0.546,0.44,0.348,0.188
Urban Outfitters,0.157,0.202,0.054,0.058,0.066
Valentino,0.081,0.098,0.1,0.092,
Van Heusen,0.59,0.538,0.412,0.378,
Vans,0.649,0.586,0.566,0.458,
Vero Moda,0.256,0.296,0.282,0.2,
Versace,0.156,0.058,0.086,0.042,
Very,0.228,0.282,0.188,,
Victoria's Secret,0.216,0.212,0.232,0.192,0.114
Walmart,0.257,0.28,0.27,0.25,0.216
Woolworths South Africa,0.244,0.194,,,
Wrangler,0.342,0.586,0.566,0.458,0.242
Youngor,0,0,0,0.026,
Zalando,0.449,0.39,0.28,0.27,0.164
Zara,0.358,0.442,0.456,0.42,0.364
Zeeman,0.376,0.248,,,
